ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
2396143	4009800001763	Spei scheerschuim 0.2l	1	Неклассифицированные/default	2396133	SPEI
2396144	4009800001787	Spei scheerzeep Stick 50g	1	Неклассифицированные/default	2396133	SPEI
3754169	4009800004702	Speick 2in1 hb d 0.15l tu	337447	Гигиена (folder)/Товары для душа и ванны	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754170	4009800004726	Speick 2in1 hb d 0.15l tu #2	337447	Гигиена (folder)/Товары для душа и ванны	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754174	4009800007666	Speick br 0.2kg	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754175	4009800007697	Speick br 0.2kg #2	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754176	4009800007703	Speick br 0.2kg #3	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754171	4009800004603	Speick br 100g	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754172	4009800004610	Speick br 100g #2	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
3754173	4009800004627	Speick br 100g #3	146	Гигиена (folder)/Мыло	3754168	SPEICK (WALTER RAU SPEICKWERK/GERMANY)
4861323	4009800004306	Speick дезодорант стик термаль Sensitive 40ml	5586	Косметика (folder)/Косметика	0	
4861324	4009800004238	Speick Крем для лица днев термаль Sensitive 50ml	5586	Косметика (folder)/Косметика	0	
4861325	4009800004245	Speick Крем для лица ночн термаль Sensitive 50ml	5586	Косметика (folder)/Косметика	0	
2396141	4009800001671	Speick. дезодорант спрей шпайк 75ml	1	Неклассифицированные/default	2396133	SPEI
4848500	4009800045200	Speick. мыло врачебное Sensitive, 100g	146	Гигиена (folder)/Мыло	4952673	Speick
4691352	079631739368	Speidel Black Twist-o-flex watch band	1	Неклассифицированные/default	0	
4691353	079631153270	Speidel express replacement watch band for casio	1	Неклассифицированные/default	0	
4691354	079631154758	Speidel express Twist-o-flex expansion	1	Неклассифицированные/default	0	
4691355	079631153294	Speidel express watch band for casio g-Shock	1	Неклассифицированные/default	0	
4691356	079631050128	Speidel watchband	1	Неклассифицированные/default	0	
4691365	079631736039	Speidel watchband #10	1	Неклассифицированные/default	0	
4691366	079631737579	Speidel watchband #11	1	Неклассифицированные/default	0	
4691357	079631050616	Speidel watchband #2	1	Неклассифицированные/default	0	
4691358	079631090063	Speidel watchband #3	1	Неклассифицированные/default	0	
4691359	079631700085	Speidel watchband #4	1	Неклассифицированные/default	0	
4691360	079631700214	Speidel watchband #5	1	Неклассифицированные/default	0	
4691361	079631700610	Speidel watchband #6	1	Неклассифицированные/default	0	
4691362	079631701358	Speidel watchband #7	1	Неклассифицированные/default	0	
4691363	079631701372	Speidel watchband #8	1	Неклассифицированные/default	0	
4691364	079631701495	Speidel watchband #9	1	Неклассифицированные/default	0	
2203934	4006497300209	Spejle hrocena/200ks 21%	1	Неклассифицированные/default	0	
3754179	4606427000935	Spektr gk/spb Bath 1l p	337447	Гигиена (folder)/Товары для душа и ванны	3754177	SPEKTR GK/SPB
3754180	4606427000959	Spektr gk/spb Bath 1l p #2	337447	Гигиена (folder)/Товары для душа и ванны	3754177	SPEKTR GK/SPB
