ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
1691520	4810038000950	Аливария (olivar.piv.z./minsk) bel.zoloto 500ml j bo l z g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
2912155	4810038003746	Аливария (olivar.piv.z./minsk) desyatka 0.9l p bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
2912150	4810038004712	Аливария (olivar.piv.z./minsk) desyatka 1.4l p bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
1806899	4810038000202	Аливария (olivar.piv.z./minsk) desyatka 500ml j bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
1806913	4810038000752	Аливария (olivar.piv.z./minsk) Ice 500ml j bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
2912147	4810038003890	Аливария (olivar.piv.z./minsk) porter 0.9l p bo d g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
1691587	4810038001056	Аливария (olivar.piv.z./minsk) porter 500ml j bo d g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
2912162	4810038003777	Аливария (olivar.piv.z./minsk) zolotoe 0.9l p bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
2912160	4810038003784	Аливария (olivar.piv.z./minsk) zolotoe 1.4l p bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
1806905	4810038000134	Аливария (olivar.piv.z./minsk) zolotoe 500ml j bo l g	22186	Продукты питания (folder)/Алкогольные напитки/Пиво	3778170	аливария (OLIVARIYA PIV.Z-D/MINSK)
