ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
2069581	5390660141232	Creative soundblaster x-fi xtreme gamer 70sb073a02007	2069570	Техника (folder)/Электротехника/Цифровая техника (folder)/Sound Cards	2016048	Creative Labs
2560120	5390660141249	Creative soundblaster xmod (USB) 70sb072002006	1	Неклассифицированные/default	231181	Creative
2560121	5390660141669	Creative soundblaster xmod wireless 70sb083000006	1	Неклассифицированные/default	231181	Creative
2560122	5390660141980	Creative soundworks radio 705 Black 53cw0285AA004	1	Неклассифицированные/default	231181	Creative
4276588	633839906344	Creative sourcing 3 - 20x20/8 square feet cellophane sheets (decorative filler)	1	Неклассифицированные/default	0	
4276589	633839910518	Creative sourcing 3/4 by 3/4inch Color coding labels permanent	1	Неклассифицированные/default	0	
4276590	633839911805	Creative sourcing cello smiley bags	1	Неклассифицированные/default	0	
4276591	633839909789	Creative sourcing inline teavel Game	1	Неклассифицированные/default	0	
2560123	8592670000036	Creative sperk 3M	3300794	Полиграфия (folder)/Периодические издания	231181	Creative
4276592	754333954430	Creative sports, inc the history of the big ten conference: 100 years of football and men's basketball vhs	1	Неклассифицированные/default	0	
4276593	785264000705	Creative sportsmen 6ct ch 25cs mod ftball pallet	1	Неклассифицированные/default	0	
4276594	086441184905	Creative sti 1ct	1	Неклассифицированные/default	0	
1429122	092810169152	Creative stickers ma	1	Неклассифицированные/default	0	
4276595	673236301922	Creative streak music production joel evans&friends: solo piano	1	Неклассифицированные/default	0	
357291	092633802908	Creative Studio Graphite drawing set w/bag	331156	Товары для творчества (folder)/Живопись и рисования (folder)/Товары для художников	175860	Faber-Castell
357293	092633800089	Creative Studio grip Graphite pencil 3pcs set	331156	Товары для творчества (folder)/Живопись и рисования (folder)/Товары для художников	175860	Faber-Castell
4276596	736885524873	Creative surprizes 55w/22inch 50/50 actinic/10k bulb	1	Неклассифицированные/default	0	
357294	815104132577	Creative table and stool set walnut 45x24 x41.25	331156	Товары для творчества (folder)/Живопись и рисования (folder)/Товары для художников	0	
3042615	8809071542578	Creative tea comapany, roast yerba mate tea	330591	Продукты питания (folder)/Продукты питания	0	
3042616	8809071542677	Creative tea company, Green yerba mate tea, Green	330591	Продукты питания (folder)/Продукты питания	0	
2307459	030554058967	Creative teaching press 100th Day countdown chart ctp5896	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307460	030554058943	Creative teaching press 100th Day smarter Star badges ctp5894	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307461	030554043000	Creative teaching press 2-pkt folder mustache ctp4300	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307462	030554081040	Creative teaching press advantage math gr 4 ctp8104	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307463	030554081057	Creative teaching press advantage math gr 5 ctp8105	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307464	030554081064	Creative teaching press advantage math gr 6 ctp8106	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307465	030554081095	Creative teaching press advantage phonics gr 2 ctp8109	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307466	030554081101	Creative teaching press advantage phonics gr 3 ctp8110	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307467	030554058936	Creative teaching press award 100th Day ctp5893	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307468	030554013997	Creative teaching press award certificate kindergarten ctp1399	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307469	030554013980	Creative teaching press award certificate preschool ctp1398	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307470	030554013973	Creative teaching press award congrats Black&White ctp1397	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307471	030554013959	Creative teaching press award congrats dots on chocola ctp1395	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307472	030554013966	Creative teaching press award congrats dots on turq ctp1396	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307473	030554013942	Creative teaching press award poppin'patterns congrats ctp1394	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307474	030554013720	Creative teaching press awards bw Happy birthday ctp1372	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307475	030554013331	Creative teaching press awards dot wow ctp1333	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307476	030554012655	Creative teaching press awards Happy birthday ctp1265	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307477	030554013348	Creative teaching press awards i lost a tooth! ctp1334	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307478	030554013324	Creative teaching press awards poppin'pttrn you did it ctp1332	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307479	030554013287	Creative teaching press awards riveting robots ctp1328	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307480	030554029936	Creative teaching press bags book buddy 6pk ctp2993	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307481	030554029578	Creative teaching press bags storage dots on Black ctp2957	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307482	030554070594	Creative teaching press bbs blk&wht calendar set ctp7059	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307483	030554070600	Creative teaching press bbs blk&wht shining stars ctp7060	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307484	030554069963	Creative teaching press bbs Mini blk&wht pennants ctp6996	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307485	030554069994	Creative teaching press bbs Mini bw classroom jobs ctp6999	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307486	030554069949	Creative teaching press bbs Mini dots on choc pennants ctp6994	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307487	030554069956	Creative teaching press bbs Mini dots on turq pennants ctp6995	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307488	030554069987	Creative teaching press bbs Mini growing New heights ctp6998	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307489	030554069932	Creative teaching press bbs Mini pp pennants ctp6993	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307490	030554070624	Creative teaching press bbs monkey business ctp7062	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307491	030554070587	Creative teaching press bbs riveting robots calendar ctp7058	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307492	030554070006	Creative teaching press bbs riveting robots class jobs ctp7000	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307493	030554046353	Creative teaching press Black spumoni lowcase sticker ctp4635	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307494	030554046346	Creative teaching press Black spumoni uppcase sticker ctp4634	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307495	030554016431	Creative teaching press bllltn brd fall essentials ctp1643	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307508	030554083532	Creative teaching press book addition&subtractn gr 1-2 ctp8353	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307509	030554081330	Creative teaching press book advantage math gr-7 ctp8133	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307510	030554081347	Creative teaching press book advantage math gr-8 ctp8134	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307511	030554067372	Creative teaching press book advantage math grade-1 ctp6737	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307512	030554067389	Creative teaching press book advantage math grade-2 ctp6738	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307513	030554067396	Creative teaching press book advantage math grade-3 ctp6739	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307514	030554067365	Creative teaching press book advantage math grade-k ctp6736	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307515	030554067297	Creative teaching press book advantage phonics gr-1 ctp6729	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307516	030554067303	Creative teaching press book advantage phonics gr-2 ctp6730	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307517	030554067280	Creative teaching press book advantage phonics gr-k ctp6728	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307518	030554067334	Creative teaching press book advantage reading gr-1 ctp6733	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307519	030554081125	Creative teaching press book advantage reading gr-1 ctp8112	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307520	030554081132	Creative teaching press book advantage reading gr-2 ctp8113	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307521	030554081149	Creative teaching press book advantage reading gr-3 ctp8114	1	Неклассифицированные/default	2307458	Creative Teaching Press
2307522	030554081156	Creative teaching press book advantage reading gr-5 ctp8115	1	Неклассифицированные/default	2307458	Creative Teaching Press
