ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
4000292	041737208031	2000 flushes w/bleach 3.5oz 9ct	1	Неклассифицированные/default	0	
4000293	084422519937	2000 ford f350 7.3 diesel thermostat rt-1201 f6tz-8575-ea list Price $45.23 other list$40.60 Price$24.87	1	Неклассифицированные/default	0	
4000294	708202425163	2000 frame	1	Неклассифицированные/default	0	
4000295	076795196105	2000 frame #2	1	Неклассифицированные/default	0	
1361044	8697704019791	2000 goldcare Крем-фарба рiдка для взуття безкольорова 75ml	1	Неклассифицированные/default	0	
1361045	8697704019753	2000 goldcare Крем-фарба рiдка для взуття коричневий 75ml	1	Неклассифицированные/default	3666153	GOLD CARE
1361046	8697704019777	2000 goldcare Крем-фарба рiдка для взуття коричневий 75ml #2	1	Неклассифицированные/default	0	
4000296	079184441107	2000 Green colored staples	1	Неклассифицированные/default	0	
4000297	067933056672	2000 labels avery laser printer clear mailing labels 1 3/4inch x 1/2inch	1	Неклассифицированные/default	0	
2508435	5099750069929	2000 latin grammy nominees - 2000 latin CD sony500699	4093300	Медиа (folder)/Media	0	
2508436	801944118529	2000 leguas de viaje submarino - DVD 664-11852	4093300	Медиа (folder)/Media	0	
4000298	745162013146	2000 lpx 16 meg video card voodoo3	1	Неклассифицированные/default	0	
4000299	789625026106	2000 marballizer 2000 colbalt/magenta	1	Неклассифицированные/default	0	
4000300	749318020002	2000 memories glassware&gifts inc 2x 6oz flute 2000 collector millennium Champagne flutes	1	Неклассифицированные/default	0	
4000301	636466001345	2000 mllnm tshrt	1	Неклассифицированные/default	0	
4000302	080264015040	2000 mugs	1	Неклассифицированные/default	0	
2181714	300258275534	2000 packets equal sweetener, foodservice pack	1	Неклассифицированные/default	2576663	Equal
4000303	028478126930	2000 pcs crossman Soft Air Glow in the Dark tracer plastic bbs	1	Неклассифицированные/default	0	
4000304	640135127113	2000 pga champion Tiger woods nike golf ball tin	1	Неклассифицированные/default	0	
4000305	722950072448	2000 pin	1	Неклассифицированные/default	0	
4000306	070989352803	2000 Playboy playmate calendar	1	Неклассифицированные/default	0	
2275335	032507720129	2000 Plus 6 band number stamp s-226	1	Неклассифицированные/default	0	
2275336	032507511116	2000 Plus Line dater - Red	1	Неклассифицированные/default	0	
2275337	032507521115	2000 Plus Line dater - Red #2	1	Неклассифицированные/default	0	
4000307	039956110372	2000 Plus office Line	1	Неклассифицированные/default	0	
4000308	045496890063	2000 points wii points card	1	Неклассифицированные/default	0	
4000309	754703761637	2000 san francisco gay pride p	1	Неклассифицированные/default	0	
4000310	605575202011	2000 series tote 20inch	1	Неклассифицированные/default	0	
4000311	605575202554	2000 series tote 25inch	1	Неклассифицированные/default	0	
4000312	605575203216	2000 series tote 32inch	1	Неклассифицированные/default	0	
4000313	5018505100397	2000 staples rapesco rapid 53/6mm (1/4inch) staples (Code s53602m1)	1	Неклассифицированные/default	0	
4000314	765940109298	2000 stickers Color Zone motivational stickers	1	Неклассифицированные/default	0	
4000315	755221201100	2000 tickets per roll double roll 2000 tickets Orange	1	Неклассифицированные/default	0	
4000316	032031296893	2000 wimbledon final-agassi VS rafter (DVD)	1	Неклассифицированные/default	0	
4000325	033991001367	2000-up gm radio replacement interface with integrated door chime feature	1	Неклассифицированные/default	0	
4000317	744476500502	2000000000000000000000000 k'nex	1	Неклассифицированные/default	0	
4882791	4978951200014	200014' mitsuei средство чистящее спрей для кухни, с антибакт эффектом, 400ml	1	Неклассифицированные/default	0	
4000318	353876831101	20009000t who care's	1	Неклассифицированные/default	0	
4000319	052732200005	2000a broadcast spreader	1	Неклассифицированные/default	0	
4000320	032886122675	2000ft southwire number 14 thhn wire - 19 stands copper - four 500ft spool pack - Black	1	Неклассифицированные/default	0	
4000321	032886122682	2000ft southwire number 14 thhn wire - 19 stands copper - four 500ft spool pack - White	1	Неклассифицированные/default	0	
4000322	742575120003	2000gph nursery Pro high volume waterfall pump	1	Неклассифицированные/default	0	
4000323	603847620037	2000lb of Love	1	Неклассифицированные/default	0	
4000324	090729110197	2000mah sunpak readylite 655-5rr	1	Неклассифицированные/default	0	
1361048	034411112007	2000p gilmour 2 1/2 gal tank sprayer	1	Неклассифицированные/default	0	
2275339	039956355735	2000Plus accustamp - entered - Blue	1	Неклассифицированные/default	2275338	2000PLUS
2275340	039956355728	2000Plus accustamp - Original - Blue	1	Неклассифицированные/default	2275338	2000PLUS
4806517	039956353489	2000Plus Green entered 098368	4806388	Канцелярские товары (folder)/Office Consumables	2306856	COSCO
2275342	039956906845	2000Plus stamp refill Ink - Black 10ml	1	Неклассифицированные/default	2275338	2000PLUS
2275343	039956906821	2000Plus stamp refill Ink - Blue 10ml	1	Неклассифицированные/default	2275338	2000PLUS
2275344	039956906838	2000Plus stamp refill Ink - Red 10ml	1	Неклассифицированные/default	2275338	2000PLUS
1849252	039956355759	2000Plus stock title stamp approved - Blue	1	Неклассифицированные/default	2275338	2000PLUS
751261	4050300004204	2000w 230v r7s l=328.0 mm, haloline, лампа галогенная линейная Osram 64784	78022	Техника (folder)/Электротехника (folder)/Лампа электрическая	78069	Osram
552574	5050565033161	2000w Quartz Heaters 1s	1	Неклассифицированные/default	0	
1846583	070686490242	2000w stem mnt lgt control ath at15bc	1	Неклассифицированные/default	0	
5116459	9785171088156	2000наклеекмозаика/с новым годом! 40245051	5115695	раскраски. наклейки. игры	0	
2508438	042283106826	2001 a space odyssey - ost CD 8310682	4093300	Медиа (folder)/Media	0	
4000326	046363078157	2001 a space odyssey module (paperback)	1	Неклассифицированные/default	0	
4000327	726452003771	2001 amano primitivo 750ml	1	Неклассифицированные/default	0	
4000329	053039116587	2001 avn awards	1	Неклассифицированные/default	0	
4000330	796401202753	2001 avn awards show	1	Неклассифицированные/default	0	
4000332	845850012939	2001 chateau gravas sauternes 375ml	1	Неклассифицированные/default	0	
4000333	025889320988	2001 chevrolet prizm heater motor resistor 4oz	1	Неклассифицированные/default	0	
881504	064541306328	2001 cold endcap	1	Неклассифицированные/default	0	
881505	064541306359	2001 cold endcap #2	1	Неклассифицированные/default	0	
881506	064541306281	2001 cold flrstnd	1	Неклассифицированные/default	0	
881507	064541306304	2001 cold flrstnd #2	1	Неклассифицированные/default	0	
4000334	036881203407	2001 die cast stock car caterpillar #22 ward burton 1:24	1	Неклассифицированные/default	0	
4000335	676628813393	2001 DVD-a 5.1 channels motorhead: ace of spades	1	Неклассифицированные/default	0	
1361049	027793617536	2001 eastern us road	1	Неклассифицированные/default	0	
