ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
1265230	4606500186280	Набор корзин плетеных ива 57x37 хh16/36cm 3шт	36595	Товары для праздников (folder)/Новый Год и Рождество	680876	7Цветов-Декор
2901500	4630017901593	Набор корзина для хранения велетта 3шт прямоуг 25x14 x 7cm арт.с716	1	Неклассифицированные/default	0	
3426278	6934091452100	Набор корзина и пришепки 1x 10шт мяг/уп	1	Неклассифицированные/default	0	
2901501	4606068046583	Набор корзинка пасхальная 4шт	1	Неклассифицированные/default	0	
770164	6907728072187	Набор корзинка с цыпленком 6cm sh135	30792	Товары для праздников (folder)/Пасха	672703	NVT Traiding
2252059	4690591016939	Набор корзинка сказка оригами пб002	1356639	Товары для творчества (folder)/Творчество	0	
770165	6907728082452	Набор корзинка-гнездо с курочкой/цыпленком желтый sh305	30792	Товары для праздников (folder)/Пасха	672703	NVT Traiding
89651	8841680099203	Набор корзинок 3шт 9919-21	3541537	Сувениры и подарки (folder)/Сувенир	0	
770166	5018705506777	Набор корзинок Premier для хлеба 2шт лоза 1900510	2420630	Посуда (folder)/Посуда кухонная	675909	Premier
495246	4895117845561	Набор корзинок круг 2шт вм0049	1	Неклассифицированные/default	0	
2901502	4607128830043	Набор корзинок наслаждение +нежность 300g оренбургский хк	1	Неклассифицированные/default	0	
495247	4895117804599	Набор корзинок овал. (3ш) bf0061	1	Неклассифицированные/default	0	
495248	4895117851494	Набор корзинок сердце вм2091 18/20/20	1	Неклассифицированные/default	0	
89652	4606900132948	Набор корзиночек кругл 4060006	3536	Хозяйственные товары (folder)/Хозяйственные товары	0	
89653	4606900135116	Набор корзиночек сердечки 4060016	3536	Хозяйственные товары (folder)/Хозяйственные товары	0	
3426279	4620754610254	Набор корзиночка песочная пирожных с белковым кремом 6шт	1	Неклассифицированные/default	0	
3366266	4606720008515	Набор Коркунов ассорти орех.начинка темн и мол шок 137g	22145	Продукты питания (folder)/Кондитерские изделия (folder)/Конфеты	29867	Коркунов
5551874	7612367049412	Набор кормящей мамы medela starter kit 008.0476	5324637	наборы для кормления	4895670	Medela
5551875	4600505222226	Набор коробов 4шт для хранения вещей гелеос миндаль /бежевый/ 26x26x8 / 20x16x8 / 20x16x8 / 26x14 x 8см мнд_22	5383469	кофры, коробы и органайзеры для хранения	5268045	гелеос
89654	6904567990023	Набор коробок arti-m для подарков 2шт 99-002	3541537	Сувениры и подарки (folder)/Сувенир	3264276	arti-m
89655	6904567320028	Набор коробок arti-m для подарков 3шт 32-002	3541537	Сувениры и подарки (folder)/Сувенир	3264276	arti-m
3861156	6905516992440	Набор коробок арт.7699244 3шт	3608219	Упаковка	0	
3861157	6905516992457	Набор коробок арт.7699245 3шт	3608219	Упаковка	0	
3861158	6905516992464	Набор коробок арт.7699246 5шт	3608219	Упаковка	0	
3861159	6905516992471	Набор коробок арт.7699247 3шт	3608219	Упаковка	0	
3861160	6905516992488	Набор коробок арт.7699248 3шт	3608219	Упаковка	0	
5551876	4008033122535	Набор коробок для печенья круглых fackelmann, 20см,17см,14см 12253 fackelmann	231359	Посуда (folder)/Контейнер для продуктов	41398	Fackelmann
5551877	4008033122689	Набор коробок для печенья прямоугольных fackelmann, 26.1x18.5x9.2см 20.6x15.4x8.3см 14.2x10.1x7.1см 12268 fackelmann	231359	Посуда (folder)/Контейнер для продуктов	41398	Fackelmann
5551878	6900006801554	Набор коробок для хранения обуви el casa 30x18 x 10см 4шт 680155 elan	5383469	кофры, коробы и органайзеры для хранения	5289127	el casa
5551879	6900006801523	Набор коробок для хранения обуви el casa 33x23 x 14см 4шт 680152 elan	5383469	кофры, коробы и органайзеры для хранения	5289127	el casa
5551880	6900006800038	Набор коробок для хранения обуви el casa коричневая кайма 52x30 x11.5см 2шт 680003 elan	5383469	кофры, коробы и органайзеры для хранения	5289127	el casa
89656	4607030490335	Набор коробок мини шок вк мол 42% 18g	19677	Продукты питания (folder)/Кондитерские изделия (folder)/Шоколад	29861	ВЕРНОСТЬ КАЧЕСТВУ
2248577	6410412550699	Набор коробок подар.2шт старый санта 12cm/16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201618	БЕЗ Брэнда
2248578	6410412550705	Набор коробок подар.2шт старый санта 12cm/16cm #2	542785	Товары для праздников (folder)/Украшение новогоднее	1201618	БЕЗ Брэнда
2248579	4606066168904	Набор коробок подар.белое на белом 23/19/15cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248580	4606066168881	Набор коробок подар.белое на белом 23/20/16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248581	4606066168867	Набор коробок подар.белое на белом 25/20/16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248582	4606066174257	Набор коробок подар.красно-Золотой 25/16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248583	4606066168898	Набор коробок подар.шампанское 23/19/15cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248584	4606066168874	Набор коробок подар.шампанское 23/20 /16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
2248585	4606066168836	Набор коробок подар.шампанское 25/20/16cm	542785	Товары для праздников (folder)/Украшение новогоднее	1201322	It's a happy day
3861161	6905505475053	Набор коробок подарочных 3шт	3608219	Упаковка	0	
3861162	6905505475060	Набор коробок подарочных 3шт #2	3608219	Упаковка	0	
3861163	6905506440067	Набор коробок подарочных 3шт #3	3608219	Упаковка	0	
3861164	6905506440081	Набор коробок подарочных 3шт #4	3608219	Упаковка	0	
3861165	6905506440074	Набор коробок подарочных 4шт	3608219	Упаковка	0	
11644	024602803166	Набор коробочка органза голубая	360621	Сувениры и подарки (folder)/Набор подарочный	0	
11645	024602802145	Набор коробочка органза желтая	360621	Сувениры и подарки (folder)/Набор подарочный	0	
11646	024602803067	Набор коробочка органза зеленая	360621	Сувениры и подарки (folder)/Набор подарочный	0	
11647	024602802046	Набор коробочка органза малин	360621	Сувениры и подарки (folder)/Набор подарочный	0	
93376	6913900099613	Набор коровка 2предм чашка 160ml блюдце	38328	Посуда (folder)/Посуда столовая, предметы сервировки	0	
1976645	4650057626638	Набор коровка марта 0/24 т3376	1	Неклассифицированные/default	0	
3426280	8645201833044	Набор коровка на лугу детский 3предм ет304	1	Неклассифицированные/default	0	
2901503	6902365014828	Набор королева Анна 12предм 6чашек 200ml+6блюдец Al-m1929/12-	1	Неклассифицированные/default	0	
3426281	6900012026552	Набор королева невидимка заколка для волос	1	Неклассифицированные/default	0	
3426282	6900012026545	Набор королева цветы невидимка заколка для волос	1	Неклассифицированные/default	0	
5551881	887961977202	Набор королевские друзья куклы с питомцами 5 видов mattel enchantimals gyn58	712606	Игрушки (folder)/Игрушка кукла	1386037	Mattel
2901504	8002369521273	Набор королевский Сад 2салатн.12cm зелен r2s1286/royg-Al	1	Неклассифицированные/default	0	
2901505	8002369521280	Набор королевский Сад 2салатн.12cm розов r2s1286/royp-Al	1	Неклассифицированные/default	0	
1968886	6901237869603	Набор короли и рыцари 12шт арт. 0806-b2/786960	1	Неклассифицированные/default	0	
1968887	6901237869610	Набор короли и рыцари 8шт арт. 0806-c1/786961	1	Неклассифицированные/default	0	
1968888	6901237869627	Набор короли и рыцари 8шт арт. 0806-c2/786962	1	Неклассифицированные/default	0	
770167	4024526640683	Набор Корона празднику, 6шт	1	Неклассифицированные/default	0	
89657	7554315900416	Набор Корона с волшебной палочкой в пак.90041	980	Игрушки (folder)/Игрушка	0	
5040903	4606600668730	Набор коронок 888 по дереву 19-127mm 1/20 6868712	4881482	Инструменты (folder)/Оснастка и расходные материалы	3272148	888
