ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
3140729	078742369877	Concord grape jelly 18oz/510g	330591	Продукты питания (folder)/Продукты питания	0	
3038792	019646005492	Concord grape Juice	330591	Продукты питания (folder)/Продукты питания	0	
1424770	021908634104	Concord grape Spread	1	Неклассифицированные/default	0	
3038793	085239027066	Concord grape squeezable Spread	330591	Продукты питания (folder)/Продукты питания	0	
4269306	079563250016	Concord grape-12 quarts 1ct	1	Неклассифицированные/default	0	
4269307	079563600026	Concord grape-12 quarts 1ct #2	1	Неклассифицированные/default	0	
4269308	079563250306	Concord grapes	1	Неклассифицированные/default	0	
4812539	09427200	Concord grapes #2	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
4269309	852678348348	Concord Group 1inch amx sweat union kit tailpiece, nut&gasket	1	Неклассифицированные/default	0	
581580	5014108026355	Concord index Box 6x 4inch 1s	1	Неклассифицированные/default	0	
3038794	011110722805	Concord jam	330591	Продукты питания (folder)/Продукты питания	2616592	Kroger
581581	663234010414	Concord kitchen knife 2pcs	1	Неклассифицированные/default	0	
4269310	615579000032	Concord monitor Valley news	1	Неклассифицированные/default	0	
4269311	888072306073	Concord music Group approx 8oz (vinyl lp) Paul mccartney live concert at amoeba records (Hollywood, ca)	1	Неклассифицированные/default	0	
4269312	888072231023	Concord music Group CD dionne warwick - my friends&me	1	Неклассифицированные/default	0	
4269313	888072300262	Concord music Group CD ray charles + the count basie orchestra - 2006 - ray sings, basie swings	1	Неклассифицированные/default	0	
4269314	888072000018	Concord music Group CD sampler miles davis quintet legendary Prestige sessions	1	Неклассифицированные/default	0	
4269315	888072702295	Concord music Group DVD j fogerty Long road Home	1	Неклассифицированные/default	0	
581582	663234010544	Concord scissors 4.5	34728	Инструменты (folder)/Ножницы	0	
581583	6632340099907	Concord scissors 75909	34728	Инструменты (folder)/Ножницы	0	
4269316	858280703513	Concord stage coach	1	Неклассифицированные/default	0	
581584	1000221674683	Concord synthetic fibre shaving brush	1105	Гигиена (folder)/Средства для бритья	0	
581585	5016196216090	Concord wage slips 100shts 5s	1	Неклассифицированные/default	0	
4269317	5014429061820	Concorde	1	Неклассифицированные/default	0	
4269318	634991190220	Concorde (DVD)	1	Неклассифицированные/default	0	
4269319	018619675878	Concorde affair (DVD)	1	Неклассифицированные/default	0	
4269320	733961731330	Concorde alpha-delta-an intrepid journey (DVD)	1	Неклассифицированные/default	0	
581586	5010057003164	Concorde medium Dry White 750ml	1	Неклассифицированные/default	0	
581587	5010057003171	Concorde medium sweet 750ml	1	Неклассифицированные/default	0	
581588	5010057003195	Concorde Peach Wine 750ml	1	Неклассифицированные/default	0	
4812540	09301612	Concorde pears	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
4269321	783686205128	Concordia college corporation salvation is created, the concordia choir - music CD	1	Неклассифицированные/default	0	
4269322	078777001469	Concordia publishing house 9.25x12.25inch/2oz canon in d the celebrated canon by Johann pachelbel, arranged for organ by s. dru	1	Неклассифицированные/default	0	
952216	4800253243034	Concore chf 2.5mg tablet 30s	1	Неклассифицированные/default	0	
1424779	4800253244017	Concore tab 5mg	1371731	Лекарственные средства (folder)/MERCURY BRANDED	0	
4269323	072000717776	Concourse suitcase	1	Неклассифицированные/default	0	
581590	682676700004	Concre creatine Powder concentrate 60g	1	Неклассифицированные/default	581589	CONCRE
581591	682676710607	Concre creatine,concentrated cap 60 cap	1	Неклассифицированные/default	581589	CONCRE
4269324	039645113721	Concrete	1	Неклассифицированные/default	0	
952217	054983072561	Concrete anchoring epoxy	1	Неклассифицированные/default	0	
4269325	092097243354	Concrete anchors	1	Неклассифицированные/default	0	
2068519	031107766001	Concrete angle 2inch x 2-1/4inch x 5-3/16inch tdl5	1	Неклассифицированные/default	0	
2068520	081942067979	Concrete angle 2inch x 2-1/4inch x 5-3/16inch tdl5 #2	1980132	Инструменты (folder)/Hardware	3948195	MiTek
2068521	081942122883	Concrete angle 2inch x 2-1/4inch x 5-3/16inch triple zinc tdl5-tz	1980132	Инструменты (folder)/Hardware	3948195	MiTek
