ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
3396116	4607176583809	Лосины Снежана махровые	371108	Одежда и обувь (folder)/Леггинсы	0	
3396117	4607176583816	Лосины Снежана махровые #2	371108	Одежда и обувь (folder)/Леггинсы	0	
3914700	1221113294219	Лосины спортивные жен stayer темп синий	371108	Одежда и обувь (folder)/Леггинсы	447542	Stayer
3396118	6958800800143	Лосины счастье бесшовные бамбук	371108	Одежда и обувь (folder)/Леггинсы	0	
5029648	6970374589736	Лосины твой стиль спорт	330538	Одежда и обувь (folder)/Чулочно-носочные изделия (folder)/Колготки	0	
4858838	4610017194102	Лосины филороссо компрессион кл1 80den р-р 4 черн	371108	Одежда и обувь (folder)/Леггинсы	0	
4858837	4610017194096	Лосины филороссо компрессион профилактик 80den кл1 р-р 3 черные	371108	Одежда и обувь (folder)/Леггинсы	0	
3396119	8301948136014	Лосины шарманте жен 60den	371108	Одежда и обувь (folder)/Леггинсы	0	
3396120	6939241811134	Лосины элис секрет жен с начесом арт.8042	371108	Одежда и обувь (folder)/Леггинсы	0	
3396121	4605100701411	Лосины Эра (2/3, черный)	371108	Одежда и обувь (folder)/Леггинсы	0	
3396122	4605100701428	Лосины Эра (3/4, черный)	371108	Одежда и обувь (folder)/Леггинсы	0	
3396123	4605100701435	Лосины Эра (4/5, черный)	371108	Одежда и обувь (folder)/Леггинсы	0	
3396067	4605100701534	Лосины Эра вера жен 360den р3-4	371108	Одежда и обувь (folder)/Леггинсы	0	
3396068	4605100701541	Лосины Эра вера жен 360den р4-5	371108	Одежда и обувь (folder)/Леггинсы	0	
3396069	4605100701558	Лосины Эра вера жен 360den р5-6	371108	Одежда и обувь (folder)/Леггинсы	0	
3396066	4605100701527	Лосины Эра вера жен 360den с шерстью р2-3	371108	Одежда и обувь (folder)/Леггинсы	0	
1346459	4605100712097	Лосины Эра надежда 640den черные 2-3	371108	Одежда и обувь (folder)/Леггинсы	0	
1346460	4605100712103	Лосины Эра надежда 640den черные 3-4	371108	Одежда и обувь (folder)/Леггинсы	0	
3396115	4605100749154	Лосины Эра с хлопком (6-7, черный)	371108	Одежда и обувь (folder)/Леггинсы	0	
1678578	460061110702	Лоск 1350+150 лесной Blue Power	235	Хозяйственные товары (folder)/Бытовая химия (folder)/Стиральный порошок	10604	Лоск
3396124	9000100848121	Лоск авт свеж.лен	1	Неклассифицированные/default	0	
1678579	9000100848169	Лоск авт.интенсив Color горн.озеро 3000г	235	Хозяйственные товары (folder)/Бытовая химия (folder)/Стиральный порошок	10604	Лоск
453886	9000100631488	Лоск гель 1500мл горное озеро-15% (средство для стирки унив.конц.жид)	163	Хозяйственные товары (folder)/Бытовая химия (folder)/Средство для стирки	453885	Losk
